,geometry,species_count
521,POINT (-85.74769263002182 10.18903858098588),17
522,POINT (-85.74769263002182 10.19890798098588),17
523,POINT (-85.74769263002182 10.208777380985879),17
524,POINT (-85.74769263002182 10.218646780985878),17
525,POINT (-85.74769263002182 10.228516180985878),17
526,POINT (-85.74769263002182 10.238385580985877),17
527,POINT (-85.74769263002182 10.248254980985877),17
528,POINT (-85.74769263002182 10.258124380985876),17
529,POINT (-85.74769263002182 10.267993780985876),17
530,POINT (-85.74769263002182 10.277863180985875),17
531,POINT (-85.74769263002182 10.287732580985875),17
532,POINT (-85.74769263002182 10.297601980985874),17
533,POINT (-85.74769263002182 10.307471380985874),17
534,POINT (-85.74769263002182 10.317340780985873),17
535,POINT (-85.74769263002182 10.327210180985873),17
536,POINT (-85.74769263002182 10.337079580985872),17
537,POINT (-85.74769263002182 10.346948980985871),17
538,POINT (-85.74769263002182 10.356818380985871),17
539,POINT (-85.74769263002182 10.36668778098587),17
540,POINT (-85.74769263002182 10.37655718098587),17
541,POINT (-85.74769263002182 10.38642658098587),17
542,POINT (-85.74769263002182 10.396295980985869),17
543,POINT (-85.74769263002182 10.406165380985868),17
544,POINT (-85.74769263002182 10.416034780985868),17
545,POINT (-85.74769263002182 10.425904180985867),17
546,POINT (-85.74769263002182 10.435773580985867),17
547,POINT (-85.74769263002182 10.445642980985866),17
548,POINT (-85.74769263002182 10.455512380985866),17
549,POINT (-85.74769263002182 10.465381780985865),17
550,POINT (-85.74769263002182 10.475251180985865),17
551,POINT (-85.74769263002182 10.485120580985864),17
552,POINT (-85.74769263002182 10.494989980985864),17
553,POINT (-85.74769263002182 10.504859380985863),17
554,POINT (-85.74769263002182 10.514728780985862),17
555,POINT (-85.74769263002182 10.524598180985862),17
556,POINT (-85.74769263002182 10.534467580985861),0
557,POINT (-85.74769263002182 10.800941380985847),0
