,Amphibians,Reptiles,Mammals
1431,21,69,121
1432,24,69,122
1433,25,67,122
1434,29,64,123
1435,31,65,122
1436,31,63,124
1437,36,59,126
1438,38,57,124
1439,40,59,125
1440,37,57,124
1441,36,56,122
1442,36,57,122
1443,36,52,120
1444,34,52,120
1445,28,51,121
1446,26,49,120
1447,25,47,115
1448,25,47,115
1449,23,44,112
1450,22,44,109
1451,17,32,100
1452,17,32,100
1453,17,32,101
1454,17,31,101
1455,17,31,101
1456,17,31,101
1457,17,31,101
1458,17,32,101
1459,17,32,101
1460,17,32,101
1461,17,32,100
1462,17,32,100
1463,17,32,100
1464,17,33,100
1465,17,34,100
1466,17,34,101
1467,17,34,101
1468,17,35,101
1469,17,35,102
1470,17,37,101
1471,17,38,102
1472,17,38,103
1473,17,39,105
1474,17,39,104
1475,17,41,104
1476,17,42,104
1477,17,42,104
1478,17,42,105
1479,17,42,105
1480,17,43,104
1481,17,44,106
1482,17,45,106
1483,17,45,107
1484,17,45,106
1485,17,47,108
1486,17,51,108
1487,17,53,110
1488,17,53,110
1489,17,57,110
1490,17,58,112
1491,17,61,113
1492,17,65,115
1493,19,68,115
1494,19,66,116
1495,19,66,120
1496,22,67,122
1497,23,68,123
1498,25,69,123
1499,28,66,123
1500,25,64,125
1501,30,65,125
1502,31,62,126
1503,38,59,126
1504,41,58,126
1505,41,60,124
1506,40,56,124
1507,38,58,122
1508,37,55,121
1509,37,53,122
1510,35,52,120
1511,30,51,122
1512,27,49,118
1513,25,49,113
1514,25,48,112
1515,23,45,111
1516,22,40,107
1517,17,32,99
1518,17,32,100
1519,17,32,101
1520,17,31,101
1521,17,31,101
1522,17,31,101
1523,17,30,101
1524,17,32,101
1525,17,31,101
1526,17,32,100
1527,17,32,100
1528,17,32,100
1529,17,33,100
1530,17,33,100
1531,17,33,100
1532,17,34,101
1533,17,34,101
1534,17,36,101
1535,17,37,102
1536,17,38,102
1537,17,38,102
1538,17,38,105
1539,17,39,105
1540,17,39,105
1541,17,42,105
1542,17,43,105
1543,17,42,106
1544,17,42,106
1545,17,42,107
1546,17,44,107
1547,17,44,107
1548,17,45,109
1549,17,45,108
1550,17,46,109
1551,17,49,108
1552,17,52,109
1553,17,52,110
1554,17,53,110
1555,17,58,112
1556,17,60,115
1557,17,63,115
1558,18,68,115
1559,19,68,115
1560,19,68,121
1561,21,66,122
1562,22,68,123
1563,23,67,123
1564,25,66,124
1565,24,62,125
1566,25,59,125
1567,33,65,127
1568,37,63,127
1569,42,59,126
1570,43,59,125
1571,43,60,125
1572,42,59,122
1573,39,57,123
1574,40,53,122
1575,36,52,121
1576,35,52,121
1577,32,52,120
1578,28,50,117
1579,26,47,113
1580,25,45,112
1581,22,43,111
1582,17,32,99
1583,17,32,99
1584,17,32,100
1585,17,31,101
1586,17,31,100
1587,17,31,100
1588,17,30,100
1589,17,31,100
1590,17,32,100
1591,17,32,100
1592,17,32,100
1593,17,32,100
1594,17,33,101
1595,17,33,101
1596,17,33,101
1597,17,33,102
1598,17,34,102
1599,17,35,102
1600,17,36,103
1601,17,37,102
1602,17,38,102
1603,17,38,103
1604,17,39,105
1605,17,39,105
1606,0,10,36
1607,17,42,105
1608,17,44,106
1609,17,44,107
1610,17,43,107
1611,17,44,107
1612,17,44,109
1613,17,44,110
1614,17,45,111
1615,17,45,110
1616,17,48,110
1617,17,52,109
1618,17,52,110
1619,17,52,112
1620,17,52,113
1621,17,60,116
1622,17,60,116
1623,17,67,116
1624,18,70,116
1625,19,68,119
1626,20,65,121
1627,22,67,122
1628,23,68,123
1629,25,68,124
1630,24,62,125
1631,25,61,126
1632,27,59,126
1633,27,63,127
1634,41,65,129
1635,42,61,125
1636,44,59,124
1637,44,61,124
1638,43,58,124
1639,41,57,123
1640,40,56,123
1641,37,56,122
1642,33,52,121
1643,32,49,118
1644,27,48,115
1645,27,47,112
1646,27,45,111
1647,22,41,110
1648,17,32,99
1649,17,32,99
1650,17,32,100
1651,17,31,100
1652,17,31,100
1653,17,31,100
1654,17,30,100
1655,17,31,100
